,S&P 500,S&P 500 daily exposure,S&P/Gold/BTC 60/30/10 daily exposure,Static HMM daily exposure,Static HMM/Gold/BTC 60/30/10 daily exposure,Static HMM with momentum/Gold/BTC 60/30/10 daily exposure
2025-01-16,34323.266068558,20194.229852542674,37820.95143273849,39085.12080414191,38970.120860020346,56095.40347536
2025-01-17,34667.87366076642,20396.981097487955,38272.248910175105,39801.87751879846,39340.27864216759,57040.241107845606
2025-01-18,34667.87366076642,20396.981097487955,38269.53039335924,39801.87751879846,39337.47934759884,57036.33987920471
2025-01-19,34667.87366076642,20396.981097487955,38102.37269818576,39801.87751879846,39165.354744398785,56796.45893230407
2025-01-20,34667.87366076642,20358.00485082558,38076.171933254605,39801.87751879846,39182.404629745,56820.22045486017
2025-01-21,34985.20174942301,20307.153152104114,38084.75495027448,39853.371581459214,39128.00045434173,56956.87827084473
2025-01-22,35181.86994279352,20361.97455484278,38023.45715394988,40211.199168127816,38846.187207031835,57090.3298831508
2025-01-23,35373.89695647099,20410.442962100467,38026.68493030736,40416.08074125037,38905.31254062857,57194.85080919878
2025-01-24,35270.63070830079,20417.55184899505,38182.44974117653,40495.158458107755,39178.794534992965,57475.19576455866
2025-01-25,35270.63070830079,20417.55184899505,38177.25395104311,40495.158458107755,39173.44435764039,57467.73950563016
2025-01-26,35270.63070830079,20417.55184899505,38076.53832763179,40495.158458107755,39069.736079671326,57323.20676912334
2025-01-27,34771.71107578739,19945.70551556584,37236.77553829306,38893.00788114101,38837.32048129258,55483.12151175431
2025-01-28,35070.4816301605,20231.792274313506,37712.20344752078,39764.61019485671,39089.81430820109,56464.55470510128
2025-01-29,34913.27064866954,20108.387659829637,37677.24812542835,39399.61632449209,39155.48887814006,56294.78346745963
2025-01-30,35100.64570592093,20162.492233670713,37949.69824561683,39783.61376663313,39498.38546213322,56930.816644830695
2025-01-31,34913.84540776465,19989.766936419088,37554.748487970566,39685.23155410429,38984.4186404387,56551.35946218597
2025-02-01,34913.84540776465,19989.766936419088,37490.60353311624,39685.23155410429,38917.83175397575,56454.76756513692
2025-02-02,34913.84540776465,19989.766936419088,37381.79803270682,39685.23155410429,38804.88414151333,56290.92413087489
2025-02-03,34678.89107417088,20085.63860682828,37886.76183796546,39946.533963802496,39479.122413781835,57111.99743238718
2025-02-04,34911.52841016247,20131.17117083714,37818.581805464426,40280.99025973421,39484.662266263986,57218.00161685638
2025-02-05,35053.08079855593,20105.311785822476,37736.27792724893,39773.116055219114,39293.7531238505,56703.72757505231
2025-02-06,35174.908173253956,20103.284216085536,37617.08127814171,39687.50396328533,39157.32247438213,56454.48015707723
2025-02-07,34852.93172041563,20049.886001782823,37698.079928056606,39262.26587607095,39310.85038943393,56303.511658369964
2025-02-08,34852.93172041563,20049.886001782823,37696.361632955675,39262.26587607095,39309.06668062853,56300.92418467283
2025-02-09,34852.93172041563,20049.886001782823,37697.01164306422,39262.26587607095,39309.741435944765,56301.90299445808
2025-02-10,35089.62829251647,20248.814289050202,38192.59524464326,39533.09150590067,39755.187518643885,56942.064313597446
2025-02-11,35116.31507575147,20303.696859559022,38214.52868895005,39320.92073630843,39876.627016181395,56700.52863737577
2025-02-12,35003.18811685572,20293.145699784152,38309.394351586125,39644.62287235106,39965.133428510046,57138.05543245502
2025-02-13,35372.73666154774,20487.506466074043,38535.181111241756,40049.31054809192,40172.860718372955,57494.151279852056
2025-02-14,35370.99442304067,20281.632314630948,38011.512129305724,39588.67048433447,39548.93689540403,56661.19684092394
2025-02-15,35370.99442304067,20281.632314630948,38014.133828381935,39588.67048433447,39551.65839983294,56665.14469446659
2025-02-16,35370.99442304067,20281.632314630948,37962.52018588122,39588.67048433447,39498.07987973047,56587.42292111626
2025-02-17,35370.99442304067,20318.99021064176,38017.666877833006,39588.67048433447,39511.61230684385,56607.05325489506
2025-02-18,35474.83902255033,20353.26306372626,38221.56369359191,39287.067690098345,39689.828289809106,56598.04377321968
2025-02-19,35558.3802570251,20376.963843492074,38221.44906605805,39333.274225946916,39760.44412305187,56597.14776093016
2025-02-20,35410.44445043153,20346.4777942653,38373.21012274273,38792.53766771426,39901.42708864953,56415.0936211201
2025-02-21,34804.781277222486,19885.82003146418,37676.57249306994,37705.524874418974,39256.05540937244,55218.60074006694
2025-02-22,34804.781277222486,19885.82003146418,37693.12177705592,37705.524874418974,39273.23470735963,55243.521277288295
2025-02-23,34804.781277222486,19885.82003146418,37682.002481174604,37705.524874418974,39261.692111467586,55226.77742135348
2025-02-24,34646.402816319576,19791.788495208377,37436.77206931049,37388.7757857276,39230.61865569523,54746.29018765798
2025-02-25,34474.10081633754,19685.139143245975,37038.75905763406,36771.647268280154,38940.73753284252,53800.33076099302
2025-02-26,34491.508832430794,19833.744010031405,37198.64152803731,37041.111604841884,38970.54142536188,54019.23616728726
2025-02-27,33940.954279710124,19507.90689912684,36702.350465941345,36259.31105427508,38836.90800493813,53156.542921455766
2025-02-28,34470.61993156776,19994.37007492716,37185.269029090436,37211.11697631988,39395.02494025055,53871.80552882013
2025-03-01,34470.61993156776,19994.37007492716,37246.90213103804,37211.11697631988,39459.00435018334,53964.61498283966
2025-03-02,34470.61993156776,19994.37007492716,37552.16623507268,37211.11697631988,39775.88954065124,54424.293206585295
2025-03-03,33866.69899686577,19732.33966616952,37236.57450682518,36897.20027002831,39568.38015610038,54125.437769915115
2025-03-04,33465.82248924573,19511.967069156573,37028.65213779848,35908.054905731435,39126.79457306703,53340.68503976785
2025-03-05,33825.51032321219,19517.141480585797,37028.51742565041,36001.14964070967,38961.20778783178,53411.29495519145
2025-03-06,33225.066681035656,19262.340637470224,36686.54212412634,34900.30257490358,38707.794421446364,52387.614283982664
2025-03-07,33411.28862785248,19373.373860307653,36694.13061603948,34770.29686275236,38605.15687880728,52099.4178041199
2025-03-08,33411.28862785248,19373.373860307653,36672.50705922609,34770.29686275236,38582.71013571223,52066.856235118925
2025-03-09,33411.28862785248,19373.373860307653,36468.303569593794,34770.29686275236,38370.73283195758,51759.35890360764
2025-03-10,32521.36038293326,19044.870298137026,36049.52871043602,33814.15956863618,37922.01399796597,50868.860880571
2025-03-11,32251.01885030221,19016.685720767902,36168.95512256705,33941.697907792855,37978.66871337813,51205.583543753964
2025-03-12,32422.156963116642,19013.566104639915,36204.740253908414,33948.12561187752,37936.96302903266,51270.261089885105
2025-03-13,31989.95249256855,18903.531486025695,36194.75147093732,33689.29375986996,37971.0574893771,51220.692524788086
2025-03-14,32650.731470754654,19073.05539952266,36394.77469838285,33959.717122703085,38155.56776104894,51465.355182246996
2025-03-15,32650.731470754654,19073.05539952266,36407.579336032046,33959.717122703085,38168.85985791428,51484.63688950474
2025-03-16,32650.731470754654,19073.05539952266,36347.206324085804,33959.717122703085,38106.18850829653,51393.72492662791
2025-03-17,32902.504692369184,19136.035548615586,36427.047569839524,34053.37476417178,38213.79026434392,51487.12695108228
2025-03-18,32546.886871244995,18982.214437991093,36375.22809151067,33805.657616954304,38303.369495689425,51458.39479806881
2025-03-19,32901.34439744592,19097.004642226475,36522.297592396426,34129.59788393829,38457.01627555562,51761.98011414738
2025-03-20,32806.20380598289,19031.6660932105,36342.11011795125,34023.647307350206,38323.323508995294,51510.96567457002
2025-03-21,32817.02723819275,19098.4513494334,36391.374444298715,34275.853224982675,38407.590341151656,51687.42354136626
2025-03-22,32817.02723819275,19098.4513494334,36391.374444298715,34275.853224982675,38407.590341151656,51687.42354136626
2025-03-23,32817.02723819275,19098.4513494334,36391.374444298715,34275.853224982675,38407.590341151656,51687.42354136626
2025-03-24,33404.73278192384,19379.60170350753,36802.99779226585,34787.31510826422,38761.34514630683,52267.33348872627
2025-03-25,33485.03021975556,19440.81819939388,36950.682898631785,35011.65145487634,38981.893806966415,52577.62110781155
2025-03-26,33085.27808461533,19234.81242559025,36622.59214795562,34408.5974037113,38713.81073371697,51917.635423802785
2025-03-27,32997.41178794983,19275.369168462057,36924.839683757236,34534.60189536207,39063.75041391896,52411.66345227169
2025-03-28,32332.900467889835,18950.86336504566,36485.73004352895,33895.2328302974,38669.21490620997,51754.595093144715
2025-03-29,32332.900467889835,18950.86336504566,36485.73004352895,33895.2328302974,38669.21490620997,51754.595093144715
2025-03-30,32332.900467889835,18950.86336504566,36485.73004352895,33895.2328302974,38669.21490620997,51754.595093144715
2025-03-31,32549.947463426473,19070.897295347408,36841.74971260851,34079.392810379715,39086.31451819892,52244.412775988814
2025-04-01,32641.880180689903,19089.39424914148,36835.639118274405,33877.64530122718,38959.7112632178,52031.32048228646
2025-04-02,32848.4521917181,19206.331303296396,37127.34819548538,34044.860156760486,39237.18666295916,52415.06545485936
2025-04-03,31229.653977063528,18646.66343035043,36380.774205223875,33671.780373710695,38643.743543831115,51921.84888651256
2025-04-04,29401.377625706107,18072.73116840356,35346.445962344755,32458.631758831165,37528.48384013996,50301.27595824121
2025-04-05,29401.377625706107,18072.73116840356,35346.445962344755,32458.631758831165,37528.48384013996,50301.27595824121
2025-04-06,29401.377625706107,18072.73116840356,35346.445962344755,32458.631758831165,37528.48384013996,50301.27595824121
2025-04-07,29349.009887652563,18113.434645264875,35274.8364065299,32499.82650179838,37424.24411226889,50159.57456984218
2025-04-08,28889.32115562501,18055.39075175144,35315.30513295409,32465.541578746437,37515.99196632422,50289.724590536054
2025-04-09,31923.255291824953,18555.305356841836,36308.75132202778,33102.537606371094,38384.999807078566,51481.76440385938
2025-04-10,30524.413790626044,17958.019606363123,35763.753763556895,32236.33505115434,37932.959705798115,50934.32291985962
2025-04-11,31069.05550915574,17996.619468801833,35960.75475564403,32286.339991466364,38140.66138389199,51208.20884587613
2025-04-12,31069.05550915574,17996.619468801833,35960.75475564403,32286.339991466364,38140.66138389199,51208.20884587613
2025-04-13,31069.05550915574,17996.619468801833,35960.75475564403,32286.339991466364,38140.66138389199,51208.20884587613
2025-04-14,31370.46995536637,17997.2844182493,35769.138209011304,32274.414235900815,37921.951941842366,50908.34021364818
2025-04-15,31282.607250945213,17985.47392510853,35830.50463972328,32308.501062986128,37990.888139607516,51049.939532508855
2025-04-16,30587.252920943687,17764.61603764737,35981.29053252331,32099.034642680494,38233.37044733624,51472.79136639831
2025-04-17,30630.895097484536,17673.643231043046,35653.541327376726,31950.561019010842,37897.80162578036,51006.72757896367
2025-04-18,30630.895097484536,17673.643231043046,35653.541327376726,31950.561019010842,37897.80162578036,51006.72757896367
2025-04-19,30630.895097484536,17673.643231043046,35653.541327376726,31950.561019010842,37897.80162578036,51006.72757896367
2025-04-20,30630.895097484536,17673.643231043046,35653.541327376726,31950.561019010842,37897.80162578036,51006.72757896367
2025-04-21,29901.79522411115,17463.30247866232,35800.851657281026,31637.54026714975,38049.541233820855,51317.95509237984
2025-04-22,30679.774766279606,17572.82904790404,35890.861189418174,31834.818695730108,38134.318421426855,51436.25620510515
2025-04-23,31155.172382825484,17846.664834474283,35957.229569978466,32198.12786259485,38129.433847449516,51382.01363146304
2025-04-24,31810.95814137278,18031.776745214676,36391.0380012176,32458.156139483497,38516.96451284809,51943.371889031645
2025-04-25,32040.800711264383,18053.611510790844,36164.20494593024,32306.960167734254,38221.10598955693,51435.46323138551
2025-04-26,32040.800711264383,18053.611510790844,36162.068119356256,32306.960167734254,38218.88781622129,51432.24551718002
2025-04-27,32040.800711264383,18053.611510790844,36136.157764041025,32306.960167734254,38191.99108067119,51393.22872499743
2025-04-28,32053.017934279895,18108.439168811896,36524.05204308354,32460.182264829895,38605.97132117749,52015.27428572616
2025-04-29,32254.93080439332,18100.355172309686,36325.22082903505,32382.03662553226,38358.80058085762,51662.77417163256
2025-04-30,32267.733563236972,18128.387737531943,36342.56326006452,32427.77275232703,38363.029788091815,51680.41064598203
